path	Consonant_before_vowel	Vowel	Start_time_V(ms)	End_time_V(ms)	Duration_V(ms)	Phone_after_V	Duration_phone_after_V(ms)	Word	Starttime_word(ms)	Endtime_word(ms)	Word_Duration(ms)	Speaker_rate
common_voice_sq_37616305	d	a	2230	2290	60	s	140	vendas	1870	2430	560	12.045
common_voice_sq_37616308	t	a	1250	1370	120	t	140	rezultat	850	1510	660	13.251
common_voice_sq_37616308	b	i	2950	3020	70	s	110	serbisë	2630	3160	530	13.251
common_voice_sq_37619842	k	u	1030	1060	30	ʃ	70	gjithkush	770	1130	360	15.569
common_voice_sq_37619844	d	i	1510	1590	80	k	90	ndikimi	1320	1880	560	13.918
common_voice_sq_37654608	p	i	880	960	80	t	60	shtëpitë	550	1050	500	11.765
common_voice_sq_37654641	t	i	2020	2100	80	s	30	partisë	1760	2160	400	12.048
common_voice_sq_37654641	t	i	2640	2750	110	k	70	demokratike	2160	2940	780	12.048
common_voice_sq_37654664	d	u	650	720	70	s	100	industria	500	1040	540	15.526
common_voice_sq_37654664	p	a	1200	1230	30	s	130	pasurive	1110	1660	550	15.526
common_voice_sq_37654664	p	a	1840	1940	100	t	80	patundëshme	1780	2350	570	15.526
common_voice_sq_37655594	d	i	920	1010	90	k	120	ndikimit	770	1410	640	12.903
common_voice_sq_37655597	p	a	940	1130	190	t	70	pati	840	1350	510	9.901
common_voice_sq_37655619	t	i	860	950	90	k	70	kritikët	550	1160	610	12.109
common_voice_sq_37655621	b	a	2570	2640	70	ʃ	100	bashkëpunimin	2520	3230	710	12.368
common_voice_sq_37655622	p	a	410	500	90	s	120	sipas	110	620	510	11.538
common_voice_sq_37655627	d	a	630	790	160	ʃ	150	dashur	570	1040	470	10.949
common_voice_sq_37655631	t	a	1790	1900	110	ʃ	170	frutash	1390	2070	680	12.285
common_voice_sq_37655636	d	i	640	790	150	k	40	verdiktet	330	1100	770	12.205
common_voice_sq_37655637	d	u	500	580	80	k	100	dukata	330	1070	740	9.796
common_voice_sq_37655637	k	a	680	860	180	t	70	dukata	330	1070	740	9.796
common_voice_sq_37775346	d	i	1400	1490	90	t	90	ditët	1330	1750	420	12.461
common_voice_sq_37775373	p	u	2020	2140	120	t	70	deputeten	1830	2550	720	11.896
common_voice_sq_37775393	p	u	1360	1470	110	t	60	deputetin	1170	1850	680	12.602
common_voice_sq_37775403	b	a	1380	1450	70	ʃ	70	bashkëpunimi	1330	1930	600	12.625
common_voice_sq_37775416	t	i	1680	1780	100	k	90	demokratike	1160	1970	810	12.545
common_voice_sq_37775419	t	a	2790	2870	80	s	150	nastase	2420	3130	710	12.500
common_voice_sq_37775421	t	a	2070	2180	110	t	80	rezultate	1740	2350	610	14.199
common_voice_sq_37775519	k	a	2230	2310	80	t	120	shkatërruesit	2060	2840	780	12.085
common_voice_sq_37775799	t	i	1470	1560	90	k	90	demokratike	940	1720	780	11.429
common_voice_sq_37780183	p	i	930	1080	150	k	30	piktorë	870	1370	500	14.865
common_voice_sq_37780220	p	u	1880	1960	80	t	100	deputetëve	1680	2300	620	14.320
common_voice_sq_37780223	d	u	810	870	60	k	100	duke	760	1010	250	14.583
common_voice_sq_37780242	d	i	1180	1260	80	k	80	dikush	1130	1780	650	7.395
