path	Consonant_before_vowel	Vowel	Start_time_V(ms)	End_time_V(ms)	Duration_V(ms)	Phone_after_V	Duration_phone_after_V(ms)	Word	Starttime_word(ms)	Endtime_word(ms)	Word_Duration(ms)	Speaker_rate
common_voice_ba_25383485	b	ɑ	2310	2390	80	ʃ	110	башҡа	2210	2850	640	9.235
common_voice_ba_25383487	k	a	1420	1580	160	s	190	киткәс	1080	1770	690	8.621
common_voice_ba_25383522	t	ɑ	2570	2690	120	ʃ	150	таш	2400	2840	440	9.609
common_voice_ba_25383527	ɡ	a	1040	1090	50	s	110	күргәс	780	1200	420	14.961
common_voice_ba_25383535	t	ɑ	1870	1940	70	ʃ	120	ташлағанда	1790	2420	630	15.176
common_voice_ba_25383536	b	ɑ	1140	1180	40	ʃ	80	башымды	1070	1460	390	7.407
common_voice_ba_25383706	b	ɑ	1410	1570	160	ʃ	100	баш	1250	1670	420	8.629
common_voice_ba_25383723	d	ɑ	2140	2210	70	t	70	председателдәре	1800	2700	900	12.603
common_voice_ba_25383758	b	ɑ	1380	1500	120	ʃ	90	баш	1280	1590	310	6.011
common_voice_ba_25383783	k	a	2380	2520	140	s	130	ишеткәс	1990	2650	660	10.642
common_voice_ba_25383987	k	ɑ	2020	2090	70	ʃ	120	кащей	1930	2360	430	15.054
common_voice_ba_25384222	k	a	2400	2480	80	s	210	ишеткәс	1950	2690	740	7.619
common_voice_ba_25384258	b	ɑ	2010	2110	100	ʃ	90	баш	1930	2200	270	11.688
common_voice_ba_25384269	d	ɑ	2580	2700	120	s	100	кырандасында	1990	3180	1190	9.898
common_voice_ba_25384348	k	ɑ	1760	1880	120	s	140	кассаға	1670	2240	570	12.041
common_voice_ba_25384355	k	a	2160	2290	130	s	140	төшкәс	1770	2430	660	10.158
common_voice_ba_25384575	b	ɑ	2140	2230	90	ʃ	100	башына	2000	2610	610	8.571
common_voice_ba_25384799	p	u	1680	1790	110	t	70	депутатлыҡҡа	1470	2470	1000	9.630
common_voice_ba_25384799	t	ɑ	1860	1950	90	t	120	депутатлыҡҡа	1470	2470	1000	9.630
common_voice_ba_25384799	d	ɑ	2990	3110	120	t	80	кандидат	2470	3190	720	9.630
common_voice_ba_25384863	b	ɑ	1150	1210	60	ʃ	120	башланыр	1040	1610	570	9.774
common_voice_ba_25384971	d	u	2520	2580	60	k	70	продукция	2270	2940	670	11.509
common_voice_ba_25385021	b	ɑ	1300	1380	80	ʃ	130	башҡарған	1100	1940	840	8.108
common_voice_ba_25385024	t	ɑ	2950	3020	70	p	70	тапҡыр	2860	3240	380	9.091
common_voice_ba_25385181	ɡ	a	1940	2070	130	s	320	күргәс	1580	2390	810	6.373
common_voice_ba_25385189	t	ɑ	1410	1640	230	t	150	туҡтат	1080	1790	710	6.548
common_voice_ba_25385198	k	a	1900	2010	110	s	210	ишеткәс	1380	2220	840	9.383
common_voice_ba_25385245	b	ɑ	2560	2640	80	ʃ	140	башҡа	2450	2980	530	10.131
common_voice_ba_25385293	t	ɑ	1510	1570	60	ʃ	160	ташланы	1460	2150	690	12.367
common_voice_ba_25385320	b	ɑ	2960	3030	70	ʃ	120	башлаһалар	2910	3510	600	12.953
common_voice_ba_25385411	b	ɑ	4010	4090	80	ʃ	90	башҡалар	3960	4560	600	8.855
common_voice_ba_25385479	b	u	2030	2100	70	s	80	автобус	1630	2180	550	10.751
common_voice_ba_25385700	d	ɑ	1150	1270	120	t	30	председателдең	770	1580	810	15.349
common_voice_ba_25385719	t	a	970	1030	60	ʃ	90	иптәштәр	720	1370	650	13.184
common_voice_ba_25385722	b	ɑ	750	830	80	t	80	батыршин	650	1160	510	16.111
common_voice_ba_25385774	t	a	590	660	70	ʃ	100	иптәштәр	360	1070	710	13.636
common_voice_ba_25385774	b	ɑ	1420	1470	50	ʃ	70	башҡа	1320	1640	320	13.636
common_voice_ba_25385785	d	ɑ	1290	1410	120	t	30	кандидатлыҡ	980	1540	560	16.102
common_voice_ba_25385849	t	a	1340	1390	50	s	100	китәсәк	1150	1610	460	12.742
common_voice_ba_25385880	t	a	980	1040	60	p	130	мәктәп	710	1170	460	11.667
common_voice_ba_25386031	ɡ	a	1780	1890	110	s	260	күргәс	1440	2150	710	8.503
common_voice_ba_25386035	t	a	1790	1820	30	p	200	мәктәпкә	1500	2140	640	8.941
common_voice_ba_25386036	t	a	3170	3230	60	s	90	китәсәк	2940	3580	640	7.917
common_voice_ba_25386078	t	a	4430	4460	30	p	250	мәктәп	4110	4710	600	11.413
common_voice_ba_25386137	b	ɑ	1350	1470	120	ʃ	110	башымды	1210	1900	690	6.202
common_voice_ba_25386199	d	ɑ	2240	2370	130	p	50	һулҡылдап	1650	2420	770	8.245
common_voice_ba_25386200	b	ɑ	1510	1610	100	ʃ	120	башын	1400	1950	550	9.124
common_voice_ba_25386273	t	u	2630	2660	30	p	90	тупраҡтың	2580	3150	570	16.312
common_voice_ba_25386317	t	ɑ	1480	1590	110	p	240	таптым	1430	2070	640	10.135
common_voice_ba_25386376	d	ɑ	760	840	80	t	80	кандидатлыҡ	350	1080	730	14.474
common_voice_ba_25386523	t	ɑ	1410	1500	90	p	150	тапҡыр	1280	1830	550	5.128
common_voice_ba_25386698	d	a	1350	1390	40	p	40	кеткелдәп	930	1430	500	17.617
common_voice_ba_25386791	t	ɑ	1950	2010	60	ʃ	180	ташлап	1880	2430	550	11.845
common_voice_ba_25386863	b	ɑ	2910	2940	30	ʃ	150	башларға	2870	3330	460	14.545
common_voice_ba_25386865	b	ɑ	1210	1300	90	ʃ	130	башы	1070	1500	430	8.594
common_voice_ba_25386893	b	ɑ	1400	1460	60	ʃ	110	баш	1290	1570	280	13.163
common_voice_ba_25386969	d	a	2010	2070	60	p	150	кеткелдәп	1540	2220	680	14.667
