path	Consonant_before_vowel	Vowel	Start_time_V(ms)	End_time_V(ms)	Duration_V(ms)	Phone_after_V	Duration_phone_after_V(ms)	Word	Starttime_word(ms)	Endtime_word(ms)	Word_Duration(ms)	Speaker_rate
common_voice_cs_20424369	k	u	1970	2050	80	t	70	skutečností	1770	3140	1370	8.427
common_voice_cs_20424399	k	a	2230	2310	80	t	80	katové	2170	2810	640	11.594
common_voice_cs_20424408	p	a	2010	2120	110	s	160	pas	1910	2280	370	10.174
common_voice_cs_20424415	t	a	1750	1850	100	k	70	takový	1700	2170	470	12.236
common_voice_cs_20424436	p	a	2540	2620	80	k	110	pak	2460	2730	270	12.274
common_voice_cs_20424458	b	i	1930	2000	70	s	130	arcibiskup	1480	2440	960	11.836
common_voice_cs_20424458	k	u	2210	2340	130	p	100	arcibiskup	1480	2440	960	11.836
common_voice_cs_20424472	t	u	2130	2210	80	k	60	tuk	2080	2270	190	10.833
common_voice_cs_20424521	t	a	1870	1940	70	k	40	tak	1810	1980	170	12.444
common_voice_cs_20424522	t	a	1250	1350	100	k	90	tak	1190	1440	250	12.500
common_voice_cs_20424536	t	i	2240	2300	60	p	90	typy	2130	2480	350	12.658
common_voice_cs_20424555	t	a	1930	2030	100	k	70	také	1870	2200	330	11.255
common_voice_cs_20424557	t	a	1380	1430	50	k	70	takže	1320	1640	320	10.879
common_voice_cs_20424588	t	a	780	820	40	k	80	takže	720	1030	310	14.655
common_voice_cs_20424637	t	a	1310	1430	120	k	60	také	1250	1550	300	11.933
common_voice_cs_20424747	t	a	1530	1660	130	k	110	tak	1480	1770	290	11.610
common_voice_cs_20430774	p	a	2260	2350	90	k	100	pak	2200	2450	250	11.386
common_voice_cs_20452694	t	u	2740	2790	50	p	70	postupu	2490	2980	490	13.946
common_voice_cs_20452733	p	a	1150	1200	50	k	80	pak	1090	1280	190	14.348
common_voice_cs_20452734	t	a	370	400	30	k	30	takže	300	560	260	15.849
common_voice_cs_20452765	p	a	470	550	80	k	50	naopak	200	600	400	15.412
common_voice_cs_20452780	t	a	800	870	70	k	70	tak	750	940	190	14.573
common_voice_cs_20452793	p	a	740	810	70	k	60	pak	690	870	180	14.085
common_voice_cs_20452831	t	a	1570	1630	60	k	80	takového	1510	1990	480	14.324
common_voice_cs_20452846	t	a	790	860	70	k	80	takovém	610	1110	500	15.238
common_voice_cs_20452846	p	a	1870	1930	60	k	40	pak	1780	1970	190	15.238
common_voice_cs_20455001	k	a	1850	1920	70	p	40	kapitole	1710	2250	540	13.947
common_voice_cs_20455001	p	i	1960	2010	50	t	60	kapitole	1710	2250	540	13.947
common_voice_cs_20455012	t	a	680	740	60	k	60	taky	620	860	240	15.190
common_voice_cs_20455013	t	a	1080	1120	40	t	30	spočítat	620	1150	530	14.583
common_voice_cs_20455014	t	a	1580	1640	60	k	110	tak	1520	1750	230	13.333
common_voice_cs_20455228	ɡ	i	2600	2660	60	t	60	digitální	2400	3000	600	12.769
common_voice_cs_20455275	t	a	950	1020	70	k	60	takovou	890	1240	350	13.946
common_voice_cs_20455276	ɡ	i	720	770	50	s	80	registrovaní	550	1190	640	15.563
common_voice_cs_20455278	p	i	750	810	60	s	130	nepopisujte	430	1510	1080	13.772
common_voice_cs_20455463	p	a	820	950	130	k	80	pak	770	1030	260	14.103
common_voice_cs_20455463	t	u	1510	1560	50	p	120	nezastupoval	1150	1970	820	14.103
common_voice_cs_20455464	t	a	3060	3130	70	k	60	tak	2980	3190	210	10.801
common_voice_cs_20455539	t	i	310	410	100	t	60	tyto	250	600	350	13.131
common_voice_cs_20455555	t	a	2560	2620	60	t	80	statutární	2410	3140	730	13.752
common_voice_cs_20455555	t	u	2700	2730	30	t	90	statutární	2410	3140	730	13.752
common_voice_cs_20455563	t	a	680	740	60	k	70	tak	590	810	220	12.131
common_voice_cs_20455598	t	a	310	390	80	k	40	tak	250	430	180	11.511
