path	Consonant_before_vowel	Vowel	Start_time_V(ms)	End_time_V(ms)	Duration_V(ms)	Phone_after_V	Duration_phone_after_V(ms)	Word	Starttime_word(ms)	Endtime_word(ms)	Word_Duration(ms)	Speaker_rate
common_voice_hu_22986557	ɡ	i	700	790	90	k	100	logikai	480	1060	580	11.485
common_voice_hu_23080199	b	ɑ	1450	1510	60	t	70	szombaton	1190	1730	540	13.866
common_voice_hu_23114548	k	u	1490	1540	50	p	90	kuporgott	1420	2210	790	12.179
common_voice_hu_23114661	d	i	940	1000	60	s	120	disznó	870	1270	400	13.065
common_voice_hu_23114667	t	ɑ	1950	2010	60	k	30	álltak	1720	2040	320	12.239
common_voice_hu_23114672	k	ɑ	2390	2460	70	t	90	katona	2340	2910	570	11.74
common_voice_hu_23114676	t	ɑ	2610	2700	90	k	100	bámultak	2170	2800	630	11.042
common_voice_hu_23114681	k	ɑ	1670	1740	70	p	80	kaptam	1630	1990	360	12.558
common_voice_hu_23114696	t	ɑ	2230	2340	110	k	180	jártak	1950	2520	570	11.215
common_voice_hu_23114696	t	ɑ	3260	3320	60	k	50	befagytak	2820	3370	550	11.215
common_voice_hu_23114728	t	ɑ	1490	1550	60	k	80	napszálltakor	1050	1710	660	10.517
common_voice_hu_23136024	k	i	1620	1690	70	k	60	lakik	1430	1750	320	13.171
common_voice_hu_23136212	k	i	2170	2220	50	ʃ	110	kisfia	2090	2530	440	14.241
common_voice_hu_23136500	k	i	1040	1130	90	ʃ	130	kis	970	1260	290	14.329
common_voice_hu_23136500	k	ɑ	2050	2120	70	p	100	felkapták	1770	2460	690	14.329
common_voice_hu_23136577	b	ɑ	1090	1150	60	k	90	bakter	1020	1380	360	15.702
common_voice_hu_23136632	k	u	2250	2310	60	t	80	kutatóan	2130	3040	910	11.073
common_voice_hu_23136632	t	ɑ	2390	2470	80	t	120	kutatóan	2130	3040	910	11.073
common_voice_hu_23136709	t	ɑ	1740	1790	50	k	70	álltak	1460	1860	400	10.087
common_voice_hu_23136730	d	ɑ	2780	2810	30	t	80	mondataimból	2660	3200	540	15.873
common_voice_hu_23136759	k	ɑ	2540	2610	70	t	90	lapokat	2170	2700	530	12.152
common_voice_hu_23145076	ɡ	u	2580	2790	210	k	60	dolgukat	2430	3080	650	13.333
common_voice_hu_23145076	k	ɑ	2850	2920	70	t	160	dolgukat	2430	3080	650	13.333
common_voice_hu_23145243	t	i	1200	1270	70	t	50	elhihetitek	650	1520	870	14.692
common_voice_hu_23201313	k	ɑ	3190	3290	100	t	90	sakkfeladványokat	2190	3380	1190	12.96
common_voice_hu_23234172	d	ɑ	1080	1140	60	k	70	ludak	940	1210	270	12.5
common_voice_hu_23234221	ɡ	i	1690	1770	80	ʃ	80	megismerte	1550	2210	660	11.28
common_voice_hu_23234222	k	ɑ	1620	1670	50	t	110	fogásokat	1110	1780	670	10.097
common_voice_hu_23234283	t	ɑ	2090	2150	60	k	230	változtak	1630	2380	750	10.446
common_voice_hu_23234291	ɡ	i	1180	1240	60	ʃ	50	mégiscsak	960	1480	520	15.484
common_voice_hu_23234378	k	ɑ	1360	1430	70	t	80	lyukat	1190	1510	320	12.5
common_voice_hu_23234414	k	i	1160	1240	80	ʃ	260	kis	1110	1500	390	7.724
