path	Consonant_before_vowel	Vowel	Start_time_V(ms)	End_time_V(ms)	Duration_V(ms)	Phone_after_V	Duration_phone_after_V(ms)	Word	Starttime_word(ms)	Endtime_word(ms)	Word_Duration(ms)	Speaker_rate
common_voice_id_19051304	p	a	990	1050	60	k	70	apakah	790	1240	450	15.574
common_voice_id_19051311	k	a	870	950	80	k	90	kakak	800	1200	400	15.522
common_voice_id_19051311	k	a	1040	1120	80	k	80	kakak	800	1200	400	15.522
common_voice_id_19051312	p	a	1200	1250	50	k	80	apakah	1040	1430	390	14.474
common_voice_id_19056655	d	a	1010	1040	30	k	50	tidak	830	1090	260	15.132
common_voice_id_19056664	b	u	1140	1210	70	k	70	sibuk	870	1280	410	15.517
common_voice_id_19056665	d	a	960	1020	60	p	100	didapat	810	1360	550	16.296
common_voice_id_19056665	p	a	1120	1200	80	t	160	didapat	810	1360	550	16.296
common_voice_id_19059292	k	i	5050	5100	50	t	100	kita	4960	5250	290	13.213
common_voice_id_19059313	d	a	1710	1780	70	k	120	tindak	1470	1900	430	12.736
common_voice_id_19059315	t	a	1430	1480	50	p	90	tetap	1210	1570	360	14.912
common_voice_id_19059315	d	a	1700	1730	30	k	100	tidak	1570	1830	260	14.912
common_voice_id_19059364	p	a	950	1040	90	k	70	pak	900	1110	210	12.059
common_voice_id_19059365	p	a	1110	1150	40	k	80	pak	1050	1230	180	12.399
common_voice_id_19059365	b	i	2120	2180	60	s	140	bisa	2010	2390	380	12.399
common_voice_id_19059379	k	a	1020	1060	40	s	160	bekas	830	1220	390	14.063
common_voice_id_19059380	p	a	820	880	60	k	70	apakah	640	1030	390	14.024
common_voice_id_19059392	b	i	960	1060	100	k	130	bibiku	740	1410	670	13.359
common_voice_id_19059395	d	a	1380	1440	60	k	40	tidak	1200	1480	280	10.924
common_voice_id_19059396	d	a	1780	1820	40	k	40	tidak	1590	1860	270	13.672
common_voice_id_19059398	k	a	1270	1300	30	p	90	kapan	1210	1500	290	14.05
