path	Consonant_before_vowel	Vowel	Start_time_V(ms)	End_time_V(ms)	Duration_V(ms)	Phone_after_V	Duration_phone_after_V(ms)	Word	Starttime_word(ms)	Endtime_word(ms)	Word_Duration(ms)	Speaker_rate
common_voice_pl_20547778	p	ɨ	840	900	60	t	80	pytanie	770	1200	430	13.389
common_voice_pl_20547901	k	u	1000	1080	80	p	60	kupuj	920	1240	320	11.565
common_voice_pl_20551622	t	a	3010	3160	150	k	290	tak	2950	3450	500	9.037
common_voice_pl_20554615	b	a	920	980	60	t	80	albatrosy	710	1340	630	11.869
common_voice_pl_20554617	t	a	750	800	50	k	80	tak	690	880	190	13.000
common_voice_pl_20554625	t	u	580	620	40	t	90	tutaj	510	790	280	14.493
common_voice_pl_20554628	p	ɨ	1700	1760	60	t	90	pytań	1610	2070	460	13.990
common_voice_pl_20554682	t	a	750	870	120	k	250	tak	660	1120	460	13.061
common_voice_pl_20554683	p	i	1230	1280	50	s	110	przepisem	960	1520	560	15.682
common_voice_pl_20554737	d	u	1130	1170	40	k	60	konduktorzy	910	1480	570	15.172
common_voice_pl_20554768	t	a	1110	1180	70	k	90	tak	1030	1270	240	10.651
common_voice_pl_20554768	t	a	1340	1510	170	k	220	tak	1270	1730	460	10.651
common_voice_pl_20554826	d	u	1140	1190	50	k	40	reprodukcja	820	1400	580	15.894
common_voice_pl_20554834	b	ɨ	2140	2190	50	t	70	zbytecznego	2020	2680	660	12.931
common_voice_pl_20555045	t	a	2410	2440	30	t	70	ostatnio	2240	2600	360	11.704
common_voice_pl_20555472	k	u	1390	1440	50	p	80	przekupniowi	1130	1780	650	14.213
common_voice_pl_20555481	t	a	930	1000	70	t	120	rezultaty	430	1160	730	12.892
common_voice_pl_20555516	p	ɨ	1040	1090	50	t	90	zapytała	760	1580	820	10.423
common_voice_pl_20555540	t	u	950	1030	80	t	90	tutaj	820	1240	420	12.432
common_voice_pl_20555544	t	ɨ	2040	2110	70	k	70	zatyka	1800	2240	440	11.409
common_voice_pl_20555558	p	a	1880	1920	40	s	130	pasuje	1810	2200	390	14.685
