path	Consonant_before_vowel	Vowel	Start_time_V(ms)	End_time_V(ms)	Duration_V(ms)	Phone_after_V	Duration_phone_after_V(ms)	Word	Starttime_word(ms)	Endtime_word(ms)	Word_Duration(ms)	Speaker_rate
common_voice_ru_18849005	p	a	960	1030	70	s	70	безопасности	630	1350	720	15.691
common_voice_ru_18849005	t	u	1620	1650	30	p	110	приступает	1350	1910	560	15.691
common_voice_ru_18849064	t	a	1720	1800	80	k	70	также	1640	1960	320	16.335
common_voice_ru_18849066	t	u	1210	1250	40	p	100	выступление	930	1750	820	14.394
common_voice_ru_18849078	t	a	660	720	60	k	60	также	570	880	310	16.078
common_voice_ru_18849080	k	a	370	430	60	k	70	как	310	500	190	14.448
common_voice_ru_18849088	k	a	570	690	120	k	170	как	490	860	370	15.772
common_voice_ru_18849088	b	a	1640	1710	70	t	70	разрабатываете	1360	1990	630	15.772
common_voice_ru_18849090	k	a	800	840	40	k	80	никакой	620	1060	440	16.580
common_voice_ru_18849091	t	a	840	920	80	k	70	также	750	1080	330	15.648
common_voice_ru_18849105	t	a	1060	1140	80	t	50	штаты	930	1250	320	16.667
common_voice_ru_18849105	t	a	1340	1410	70	k	90	также	1250	1580	330	16.667
common_voice_ru_18849121	p	u	580	670	90	s	120	допустим	320	1030	710	14.719
common_voice_ru_18849122	t	u	1250	1300	50	k	90	стук	1120	1390	270	14.208
common_voice_ru_18849133	p	a	2990	3070	80	s	70	безопасности	2650	3390	740	16.346
common_voice_ru_18849133	t	a	3470	3550	80	k	80	также	3390	3730	340	16.346
common_voice_ru_18849156	p	a	1300	1380	80	s	100	опасным	1180	1580	400	14.646
common_voice_ru_18849159	t	u	1910	1950	40	p	70	преступление	1630	2310	680	15.804
common_voice_ru_18849161	t	a	960	1030	70	k	50	также	880	1180	300	17.299
common_voice_ru_18849197	t	a	770	840	70	k	60	также	650	1000	350	17.021
common_voice_ru_18849240	k	a	320	370	50	k	50	как	250	420	170	18.269
common_voice_ru_18849242	t	a	560	600	40	k	70	также	490	780	290	17.045
common_voice_ru_18849265	k	a	590	640	50	k	60	как	530	700	170	13.812
common_voice_ru_18849312	t	a	1020	1090	70	k	60	также	940	1260	320	17.000
common_voice_ru_18849324	t	a	230	270	40	k	80	так	180	350	170	14.404
common_voice_ru_18849362	p	u	510	560	50	s	70	запустить	280	830	550	14.286
common_voice_ru_18849363	t	u	1540	1570	30	p	60	выступление	1320	1900	580	14.391
common_voice_ru_18849402	k	a	1450	1500	50	s	90	касающийся	1360	1970	610	16.180
common_voice_ru_18849409	t	a	2230	2330	100	t	70	результатов	1910	2490	580	16.275
common_voice_ru_18849422	t	a	1160	1230	70	k	70	также	1070	1410	340	16.254
common_voice_ru_18849445	t	a	1450	1540	90	k	60	также	1360	1710	350	15.000
common_voice_ru_18849456	t	a	2280	2330	50	k	100	такого	2230	2560	330	15.205
common_voice_ru_18849480	d	a	800	870	70	k	60	редакции	650	1080	430	15.884
common_voice_ru_18849482	t	u	1770	1800	30	p	70	выступать	1560	2020	460	16.933
common_voice_ru_18849527	t	a	2000	2090	90	t	60	штатов	1860	2280	420	15.198
common_voice_ru_18849528	p	ɨ	1830	1880	50	t	70	пытались	1770	2200	430	17.391
common_voice_ru_18849554	k	a	510	550	40	k	100	как	440	650	210	14.313
common_voice_ru_18849590	p	u	2170	2210	40	s	70	пустое	2090	2460	370	11.359
common_voice_ru_18849600	p	u	630	660	30	s	70	допускается	470	1080	610	16.266
common_voice_ru_18849601	k	u	550	590	40	s	80	куста	470	810	340	15.917
common_voice_ru_18849603	t	a	920	990	70	k	90	так	860	1080	220	16.151
common_voice_ru_18849618	k	a	770	830	60	k	70	как	700	900	200	13.913
common_voice_ru_18849637	d	a	760	830	70	s	70	даст	680	930	250	17.625
common_voice_ru_18849638	t	a	710	790	80	k	50	также	640	930	290	15.426
common_voice_ru_18849668	t	u	1270	1310	40	k	80	стукнул	1140	1520	380	16.667
common_voice_ru_18849869	k	u	1240	1270	30	s	110	кусочек	1170	1650	480	15.556
common_voice_ru_18853503	k	a	630	700	70	k	70	как	560	770	210	15.385
common_voice_ru_18853505	t	a	1090	1140	50	k	100	такого	1040	1430	390	12.621
common_voice_ru_18853533	k	a	1640	1690	50	k	90	как	1570	1780	210	12.766
common_voice_ru_18853761	p	u	580	650	70	s	60	пусть	520	770	250	14.870
common_voice_ru_18853774	p	ɨ	2680	2710	30	t	30	попытка	2560	2850	290	15.625
common_voice_ru_18853776	t	u	1570	1610	40	p	90	выступали	1360	1900	540	16.452
common_voice_ru_18853776	t	a	1970	2050	80	k	90	также	1900	2230	330	16.452
common_voice_ru_18853799	t	a	850	930	80	k	50	также	790	1080	290	16.401
common_voice_ru_18853805	t	u	1020	1080	60	t	60	тут	960	1140	180	16.216
common_voice_ru_18853824	k	a	890	940	50	k	80	какая	840	1150	310	15.169
common_voice_ru_18853828	b	a	770	880	110	s	100	бас	720	980	260	13.223
common_voice_ru_18853835	t	a	900	970	70	k	40	также	820	1120	300	17.117
common_voice_ru_18853836	k	u	970	1040	70	s	40	дискуссии	690	1220	530	16.194
common_voice_ru_18853838	t	a	890	960	70	k	50	также	800	1130	330	16.667
common_voice_ru_18853860	p	a	1140	1220	80	s	70	безопасности	830	1550	720	16.190
common_voice_ru_18853863	t	u	850	910	60	p	80	преступницу	580	1330	750	14.865
common_voice_ru_18853881	t	a	430	500	70	k	50	также	360	660	300	16.304
common_voice_ru_18853889	t	u	1900	1940	40	p	60	выступление	1690	2280	590	16.172
common_voice_ru_18853899	t	a	560	610	50	k	80	такой	500	830	330	16.935
common_voice_ru_18853907	p	u	850	910	60	s	70	допустить	670	1310	640	15.254
common_voice_ru_18853920	k	a	310	380	70	k	100	как	250	480	230	10.471
common_voice_ru_18853926	k	a	450	480	30	k	90	как	370	570	200	16.916
common_voice_ru_18853928	t	a	1260	1330	70	t	80	результата	920	1440	520	16.000
common_voice_ru_18853930	t	a	750	850	100	k	40	также	690	1000	310	17.270
common_voice_ru_18853938	k	a	360	440	80	k	70	как	300	510	210	11.667
common_voice_ru_18853939	k	a	450	490	40	k	50	как	380	540	160	13.214
common_voice_ru_18853941	p	u	940	1000	60	s	60	опустила	840	1310	470	14.980
common_voice_ru_18853944	t	a	510	570	60	k	40	так	460	610	150	16.425
common_voice_ru_18853955	p	ɨ	1420	1460	40	t	100	опыту	1300	1670	370	15.423
common_voice_ru_18853958	k	a	560	610	50	k	70	никакой	370	770	400	13.983
common_voice_ru_18853960	t	a	1630	1680	50	k	40	также	1550	1860	310	16.415
common_voice_ru_18853962	t	u	2890	2930	40	p	80	выступления	2670	3400	730	12.346
common_voice_ru_18853963	p	a	3960	4040	80	s	90	безопасности	3630	4350	720	14.178
