path	Consonant_before_vowel	Vowel	Start_time_V(ms)	End_time_V(ms)	Duration_V(ms)	Phone_after_V	Duration_phone_after_V(ms)	Word	Starttime_word(ms)	Endtime_word(ms)	Word_Duration(ms)	Speaker_rate
common_voice_uk_20894291	p	i	2950	3030	80	ʃ	140	пішов	2880	3310	430	11.968
common_voice_uk_20894294	p	a	2270	2340	70	p	90	папері	2210	2790	580	9.62
common_voice_uk_20894311	p	ɪ	1510	1560	50	s	130	написав	1330	1950	620	12.065
common_voice_uk_20894332	d	a	3360	3480	120	k	70	редактори	3190	3800	610	12.399
common_voice_uk_20894336	d	a	1860	1970	110	t	70	податків	1650	2270	620	13.26
common_voice_uk_20894337	t	a	1270	1330	60	t	70	статистику	1140	1780	640	11.91
common_voice_uk_20894337	t	ɪ	1400	1480	80	s	100	статистику	1140	1780	640	11.91
common_voice_uk_20894337	t	ɪ	1630	1670	40	k	70	статистику	1140	1780	640	11.91
common_voice_uk_20894353	t	a	1210	1290	80	k	50	також	1100	1480	380	12.629
common_voice_uk_20900101	p	ɪ	2900	2960	60	t	110	питання	2810	3480	670	11.803
common_voice_uk_20900154	t	u	1820	1880	60	t	140	тут	1760	2020	260	9.565
common_voice_uk_20907112	t	ɪ	1880	1930	50	t	80	інститут	1570	2160	590	13.65
common_voice_uk_20907112	t	u	2010	2070	60	t	90	інститут	1570	2160	590	13.65
common_voice_uk_20907131	t	a	1890	1960	70	t	100	консультативну	1430	2320	890	12.475
common_voice_uk_20907132	t	a	1670	1720	50	k	100	такої	1610	1960	350	12.6
common_voice_uk_20907132	p	u	3050	3110	60	s	100	пропустити	2830	3470	640	12.6
common_voice_uk_20907139	p	i	530	610	80	s	90	після	490	800	310	14.523
common_voice_uk_20907139	t	a	960	1010	50	t	70	остаточного	800	1460	660	14.523
common_voice_uk_20907140	t	a	610	670	60	k	130	такий	550	950	400	11.765
common_voice_uk_20907748	t	a	760	880	120	k	80	також	700	1080	380	12.741
common_voice_uk_20908120	p	ɪ	2290	2340	50	t	160	питання	2180	2830	650	13.428
common_voice_uk_20919758	t	a	680	770	90	k	50	так	640	820	180	8.602
common_voice_uk_20919760	b	u	2270	2380	110	t	70	прибутків	1970	2740	770	12.594
common_voice_uk_20919761	b	ɪ	2370	2410	40	s	90	особисте	1990	2590	600	12.928
common_voice_uk_20919762	p	a	1430	1520	90	t	50	закарпатські	990	1730	740	13.158
common_voice_uk_20919762	b	ɪ	2980	3040	60	t	70	зробити	2720	3190	470	13.158
common_voice_uk_20920251	b	u	1830	1950	120	t	90	майбутнє	1520	2210	690	12.333
common_voice_uk_20920253	p	u	2660	2710	50	s	100	допускається	2440	3330	890	13.06
common_voice_uk_20920281	b	ɪ	2490	2580	90	t	110	загубити	2120	2890	770	13.149
common_voice_uk_20920307	p	i	1310	1360	50	s	120	після	1260	1590	330	12.418
common_voice_uk_20920307	t	a	3230	3290	60	k	130	літаком	3030	3650	620	12.418
common_voice_uk_20920309	t	a	1280	1330	50	k	110	так	1170	1440	270	12
common_voice_uk_20920310	t	u	1890	1950	60	t	90	тут	1750	2040	290	11.823
common_voice_uk_20920327	t	a	2120	2250	130	t	70	татом	2060	2450	390	11.839
common_voice_uk_20920329	t	a	2650	2740	90	k	130	також	2490	3040	550	8.932
common_voice_uk_20920352	t	ɪ	2520	2570	50	k	70	пластикових	2230	2830	600	14.059
common_voice_uk_20921637	k	i	910	950	40	s	60	якість	660	1060	400	12.805
common_voice_uk_20921648	k	i	1530	1640	110	s	130	рідкість	1060	1910	850	10.805
common_voice_uk_20921655	t	ɪ	2250	2370	120	ʃ	160	тиші	2150	2710	560	12.734
common_voice_uk_20921655	d	a	3270	3390	120	t	80	кандидати	2910	3570	660	12.734
common_voice_uk_20921666	t	a	1860	1910	50	k	100	таки	1780	2100	320	11.326
common_voice_uk_20921701	t	a	1150	1210	60	k	100	таке	1100	1410	310	12.155
common_voice_uk_20921703	k	a	2410	2460	50	s	120	скасувати	2270	2910	640	12.421
common_voice_uk_20921703	t	a	3250	3320	70	t	80	результати	2910	3450	540	12.421
